"Headline","Publisher","Date"
"Private investigator Clinton Bowerman wins back firearms licence after police revoked it","Stuff.co.nz","2019-08-22"
"Auckland mayoral debate: John Tamihere v Phil Goff in NZ Herald-NewstalkZB show","New Zealand Herald","2019-08-22"
"Truth, fibs and stupidity: the Auckland mayoralty","Newsroom","2019-08-22"
"Watch: Phil Goff and John Tamihere head-to-head in NZ Herald-Newstalk ZB debate","New Zealand Herald","2019-08-22"
"Auckland mayor Phil Goff calls mayoral candidate John Tamihere's vows to dump 'Goff gas tax' if elected 'pure fantasy'","TVNZ","2019-08-22"
"'Just answer a question': Goff, Tamihere square off in NZME debate","Newstalk ZB","2019-08-22"
"Maori King tells people to stop blaming Government over child uplifts","Newshub","2019-08-22"
"Maori King challenges his people to take care of 'our tamariki', not blame Government if they're taken into care","TVNZ","2019-08-22"
"Maori King Tuheitia addresses Oranga Tamariki, Ihumatao in speech","Stuff.co.nz","2019-08-22"
"Police release details of Levin prisoners who escaped custody as hunt continues","TVNZ","2019-08-22"
"Mike Hosking: No Phil Twyford, cities aren't 'failing' - they're choked by red tape","New Zealand Herald","2019-08-22"
"Newsroom Lecturing councils won't work for Labour either Just like its National predecessor, this Labour","Newsroom","2019-08-22"
"'Nice pointers, but show us the money,' say councils","Newsroom","2019-08-22"
"Government's plan to fix 'stuffed' housing market","Newshub","2019-08-22"
"Government plan to free up council planning rules to help fix our 'failing cities'","Stuff.co.nz","2019-08-22"
"The Government wants councils to focus on building up, not out, to fix the housing crisis","New Zealand Herald","2019-08-22"
"Govt launches plan to fix NZ's 'failing' cities","Otago Daily Times","2019-08-22"
"Hopes anti-NIMBY announcement will help 'awful' process of building more houses in Wellington","Stuff.co.nz","2019-08-22"
"Levin trio who escaped police last night still on the run","New Zealand Herald","2019-08-22"
"Fugitive trio who escaped police in Levin 'not dangerous'","Newshub","2019-08-22"
"Manhunt continues for three escaped prisoners in Levin","TVNZ","2019-08-22"
"MP Tamati Coffey's baby gets to sit in the big chair; and Speaker Mallard shows his dad skills","Stuff.co.nz","2019-08-22"
"Labour MP Tamati Coffey's baby son Tutanekai makes Parliament debut","Newshub","2019-08-22"
"Tamati Coffey's baby Tutanekai unfazed as robust debate plays out in Parliament","TVNZ","2019-08-22"
"New Zealand Speaker Feeds MP's Baby In Parliament","NDTV News","2019-08-22"
"'Lovely': New Zealand parliament speaker holds MP’s baby during debate","The Independent","2019-08-22"
